Initialization Time: 3528.74
Query, response, time
294:2165580 79760 (1.140.1.16.32.1.12.1)+ 1+, 0, 2.586e-05
295:3484448 270010 ((13)+).((2)+) 1+, 0, 0.00013886
296:317427 1639357 (1.6.1.13.1.76)+ 1+, 0, 0.00015086
297:3372617 2164652 ((1)+).((3)+).((1)+).((67)+).((8)+).((1)+).((3)+).((1)+) 1+, 0, 0.109703
298:993078 2248922 (1U8U68U42U3U11)+ 1+, 0, 6.486e-05
299:3621845 1808404 ((15)+).((7)+).((1)+).((31)+) 1+, 0, 4.286e-05
300:709265 1616634 (4U7)+ 1+, 0, 0.00071186
301:308069 802462 (1.7.104.1.59.38.1.34)+ 1+, 0, 0.00037786
302:66904 955242 (42U9U3U1U5U2)+ 1+, 1, 0.00494686
303:2223731 1169169 (8U2)+ 1+, 1, 0.0112859
304:1511326 872432 (1.49.1.231.3.1.12.1)+ 1+, 0, 5.386e-05
305:1848346 1714384 ((8)+).((191)+).((1)+).((28)+).((22)+).((84)+).((1)+).((9)+) 1+, 0, 3.386e-05
306:598289 2917259 (5U1U4U37)+ 1+, 1, 0.00451686
307:3354376 13085 ((1)+).((92)+).((38)+).((6)+).((69)+).((1)+) 1+, 0, 0.118309
308:1511337 1792813 (11.123.2.1.12.37)+ 1+, 0, 3.386e-05
309:1608455 1237984 (2.1.18.3.1.219.5.18)+ 1+, 0, 6.186e-05
310:512276 3246682 (1U2U21U60U113U30)+ 1+, 1, 0.00773886
311:3243104 2185219 (1.2.8.4.17.1.7.34)+ 1+, 0, 0.00012286
312:3092819 957999 (1.3)+ 1+, 0, 0.00034886
313:3657599 5325 (47.2.6.5.6.49.1.50)+ 1+, 0, 2.586e-05
314:2853447 1709095 (2U3U1U6U32U8U14U13)+ 1+, 1, 0.00968486
315:3058403 2485055 (2U103)+ 1+, 0, 0.00019486
316:3520201 1397958 (52.1.2.19.1.3.9.6)+ 1+, 0, 2.286e-05
317:3363032 2192077 ((1)+).((5)+).((2)+).((1)+).((4)+).((21)+) 1+, 0, 0.00073886
318:1473374 2817566 ((16)+).((1)+).((63)+).((1)+).((2)+).((44)+) 1+, 0, 2.786e-05
319:3063813 2674439 ((1)+).((3)+) 1+, 1, 0.00822386
320:574146 1862197 (47.91.1.37)+ 1+, 0, 5.786e-05
321:2058606 516687 (74.9.168.1)+ 1+, 0, 9.886e-05
322:3485176 1416771 (3.1.200.21.1.2.35.6)+ 1+, 0, 9.086e-05
